feature,hazard_ratio,hr_ci_low,hr_ci_high,pvalue
is_month_to_month,9.208437743679104,7.942832871657726,10.675703121211026,2.2146052007563922e-190
electronic_check,1.6266087016248476,1.4761274022677813,1.7924305613030638,9.012318094951525e-23
is_fiber,1.4381057716594154,1.222643645709053,1.691538019060928,1.1477043152192086e-05
paperless,1.166052919875497,1.0461030847901105,1.299756622190802,0.005541303800341716
log_monthly_charges,0.9138517266117931,0.7762032618674104,1.0759101633020578,0.279452805364514
has_dependents,0.903231785007363,0.7936822288684385,1.0279021348515283,0.12288022132286323
is_senior,0.8998465384162313,0.8073712765829387,1.0029137971401358,0.05647186789091263
has_tech_support,0.6567864772879757,0.578737881194428,0.7453607077837533,7.36391823249467e-11
has_online_security,0.5633813819943494,0.4963712362141593,0.6394379013551895,6.62652142853638e-19
has_partner,0.5482866036975402,0.49436792810600283,0.6080859673601737,5.36698068343927e-30
